PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,Round,Phase,Individual,Puzzler,Cohort,Frustrated,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined
-1.052956192216724,1.69919282953226,-0.8860449727265869,-0.8190518426401341,0.3483699713875232,0.5563483127757614,-1.8691965744506531,1.6869845964378922,1.09465321346135,1.5207566706233369,1.311954585904994,1.3059799157511383,-1.7351955298770207,-1.170781351212746,-1.0888471178797345,-0.9822578209622556,round_3,phase3,1,1,D1_4,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0
-0.772629080297441,-1.853859580315614,-0.2539931850344465,-0.5073496259366331,0.29976417811292255,0.23795451041843355,0.7186239171596984,-0.7594382041967875,-0.12309245785967673,1.4764124592482075,0.32292917933801063,-0.2994061681282933,0.9483144848873023,0.23420597189299835,0.01992755399606651,0.49599827128207835,round_3,phase2,1,1,D1_4,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0
-0.9616071602660332,-1.1946930487750025,1.4491942547079495,-1.0015085428885833,0.8797388218956496,0.31439925739908203,0.6327708169775603,-0.6788815807604417,-0.734418248494511,0.10407193079751977,-0.5026968858341292,-0.31233053792843657,-0.24865238717162347,-0.3559640080349903,-0.03169042330654139,-3.5225515685177458,round_3,phase1,1,1,D1_4,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0
-0.6096054374518257,0.8082899262056616,0.19512306559799744,2.124936085026504,1.6100333715232074,-0.2849013335504297,0.8331334854195526,-0.49838561299592304,-1.2656570863633283,0.21641497353819247,-1.4984066483773366,0.2313910884907323,0.5333706854130951,-1.4234315572802685,-0.12866294481293555,-0.31231540083830267,round_2,phase3,1,1,D1_4,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0
-0.5664636349828932,-1.032707410659115,-0.14849984001129543,-1.3801555811100488,-1.485172878256148,-0.509653472120676,0.41532772916665955,2.8084299081430544,-1.579146228328066,-0.07531417197499676,-0.8753703571683654,-0.531337715518638,-0.2253351089986417,-0.49042739523765855,0.4756278076794928,1.0305530602006756,round_2,phase2,1,1,D1_4,2.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0
-1.0332678252832606,2.2115835078441384,-1.0999226686700065,4.220195060355808,3.5428124780597776,-0.7645383262472307,-1.0059068323249347,-0.15300560730930785,1.1747896035286187,-1.0533743328474652,2.2239051225230413,-0.31629558509595224,1.9941209930970345,4.68273901012865,-0.1374379252810094,-0.5271257471023598,round_2,phase1,1,1,D1_4,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0
8.473288451217643,-1.1480170912983285,-2.069530712749005,-0.44870963843542255,-3.793960427384942,2.3273772110737903,1.1201315254298965,-1.3579300338120843,0.2515028583213438,1.6600314770023312,0.2972974460843207,-1.0650208442186375,0.8970866683130434,0.010463691038222362,2.013127082099909,0.5326537004547353,round_4,phase3,1,1,D1_4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-0.35846282749868613,0.02415224272061135,2.6507065972435986,-0.8049357266864071,-0.3321754147981389,0.7873999293988543,1.1138900341514497,-0.7046305198258703,-1.4678610366544007,0.7686147264368596,0.09773479793817161,2.6147509485924996,0.4534210920783013,-0.9145133977392492,0.04977011294455532,1.4681695884278676,round_4,phase2,1,1,D1_4,0.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0
-1.0269992216892452,-1.3283639224020238,-0.28833777198441,-0.4932043063709392,-1.9357661987362287,1.2014140695453028,-0.3612080088387712,-0.8592167125100079,0.5318712987107349,0.5705655933218112,-0.9176165623349195,-1.0288878847166008,-0.3670010564136035,-0.59815198982391,-0.19760627989112367,0.3775048078820302,round_4,phase1,1,1,D1_4,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
-1.0351436237995733,-0.2897641164160083,-1.0335452531333986,0.4291448889106655,-0.23279877689976874,-0.9915631084040198,-3.0058430883026857,0.24162281939665178,1.726169469382185,-1.5901441708621467,-0.9165844666612013,-0.7589713260687436,-1.0052729261988822,-0.9717045224932742,-0.6017250079136718,0.16058285382401147,round_1,phase3,1,1,D1_4,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0
